;winner
EUW1_5739514825;red
EUW1_5739521249;red
EUW1_5739522708;red
EUW1_5739527605;blue
EUW1_5739569830;red
EUW1_5739574392;red
EUW1_5739581503;blue
EUW1_5739599972;blue
EUW1_5739604081;blue
EUW1_5739606207;blue
EUW1_5739619495;blue
EUW1_5739644697;red
EUW1_5739659214;red
EUW1_5739689941;blue
EUW1_5739692119;red
EUW1_5739731068;blue
EUW1_5739776980;red
EUW1_5739806729;red
EUW1_5739809966;red
EUW1_5739844168;blue
EUW1_5739853943;blue
EUW1_5739865468;red
EUW1_5739876073;blue
EUW1_5739889031;blue
EUW1_5739906310;red
EUW1_5739923438;blue
EUW1_5739925194;blue
EUW1_5739963698;blue
EUW1_5739986036;red
EUW1_5739994993;red
EUW1_5740009252;red
EUW1_5740013743;blue
EUW1_5740040962;blue
EUW1_5740062274;blue
EUW1_5740064568;blue
EUW1_5740078252;red
EUW1_5740090923;blue
EUW1_5740094384;red
EUW1_5740107930;blue
EUW1_5740119177;blue
EUW1_5740121737;blue
EUW1_5740145469;blue
EUW1_5740160383;blue
EUW1_5740211918;blue
EUW1_5740228193;blue
EUW1_5740234981;red
EUW1_5740295280;red
EUW1_5740300896;blue
EUW1_5740315495;blue
EUW1_5740327443;blue
EUW1_5740330101;red
EUW1_5740330498;red
EUW1_5740336897;red
EUW1_5740342416;blue
EUW1_5740342954;blue
EUW1_5740350305;red
EUW1_5740351330;blue
EUW1_5740359626;blue
EUW1_5740360493;blue
EUW1_5740362791;red
EUW1_5740378715;red
EUW1_5740406709;red
EUW1_5740441561;red
EUW1_5740444491;blue
EUW1_5740447876;red
EUW1_5740465628;red
EUW1_5740475106;blue
EUW1_5740517083;blue
EUW1_5740523595;blue
EUW1_5740525486;red
EUW1_5740543975;blue
EUW1_5740547547;blue
EUW1_5740551568;red
EUW1_5740568311;blue
EUW1_5740589313;red
EUW1_5740589418;red
EUW1_5740591939;red
EUW1_5740604192;blue
EUW1_5740637455;red
EUW1_5740714766;blue
EUW1_5740715298;blue
EUW1_5740717785;blue
EUW1_5740746287;blue
EUW1_5740750356;red
EUW1_5740760989;red
EUW1_5740761842;blue
EUW1_5740784334;blue
EUW1_5740796528;red
EUW1_5740826142;blue
EUW1_5740826555;blue
EUW1_5740835329;red
EUW1_5740838946;blue
EUW1_5740849777;red
EUW1_5740871255;red
EUW1_5740884476;red
EUW1_5740887071;red
EUW1_5740890264;blue
EUW1_5740891371;blue
EUW1_5740909335;red
EUW1_5740921992;red
EUW1_5740967232;blue
EUW1_5740971018;blue
EUW1_5740978421;blue
EUW1_5741020737;red
EUW1_5741041118;red
EUW1_5741043765;blue
EUW1_5741061340;red
EUW1_5741134910;red
EUW1_5741140197;red
EUW1_5741167570;red
EUW1_5741185994;red
EUW1_5741251698;red
EUW1_5741372502;red
EUW1_5741376124;blue
EUW1_5741382188;red
EUW1_5741398159;red
EUW1_5741401247;red
EUW1_5741409081;red
EUW1_5741415888;blue
EUW1_5741416517;red
EUW1_5741422799;red
EUW1_5741423132;blue
EUW1_5741424095;blue
EUW1_5741428146;blue
EUW1_5741568304;blue
EUW1_5741609086;red
EUW1_5741630923;red
EUW1_5741676976;blue
EUW1_5741677079;blue
EUW1_5741690864;red
EUW1_5741695869;red
EUW1_5741705119;blue
EUW1_5741712068;blue
EUW1_5741717750;blue
EUW1_5741719643;red
EUW1_5741720840;red
EUW1_5741723113;blue
EUW1_5741723203;red
EUW1_5741791094;red
EUW1_5741816078;red
EUW1_5741817147;blue
EUW1_5741845839;red
EUW1_5741855155;red
EUW1_5741875074;blue
EUW1_5741893700;red
EUW1_5741914199;red
EUW1_5741914221;blue
EUW1_5741945339;blue
EUW1_5741952910;blue
EUW1_5741960201;red
EUW1_5741965267;red
EUW1_5741976570;blue
EUW1_5741987322;red
EUW1_5741998269;blue
EUW1_5742012128;blue
EUW1_5742017933;red
EUW1_5742020296;blue
EUW1_5742030841;red
EUW1_5742035475;red
EUW1_5742044373;red
EUW1_5742125835;blue
EUW1_5742132415;blue
EUW1_5742135069;blue
EUW1_5742144031;blue
EUW1_5742150636;blue
EUW1_5742156910;blue
EUW1_5742213031;red
EUW1_5742221666;red
EUW1_5742234147;red
EUW1_5742236719;blue
EUW1_5742259863;red
EUW1_5742273778;blue
EUW1_5742291812;red
EUW1_5742304199;red
EUW1_5742304575;blue
EUW1_5742320430;blue
EUW1_5742367295;red
EUW1_5742379213;blue
EUW1_5742387471;blue
EUW1_5742390516;red
EUW1_5742399471;red
EUW1_5742419355;red
EUW1_5742419728;blue
EUW1_5742420210;red
EUW1_5742443556;blue
EUW1_5742447246;red
EUW1_5742448325;red
EUW1_5742459672;red
EUW1_5742459703;red
EUW1_5742462930;red
EUW1_5742474603;red
EUW1_5742512751;blue
EUW1_5742522196;red
EUW1_5742524206;blue
EUW1_5742528942;red
EUW1_5742537153;red
EUW1_5742545902;red
EUW1_5742549933;blue
EUW1_5742559424;blue
EUW1_5742570993;blue
EUW1_5742574455;blue
EUW1_5742578698;blue
EUW1_5742587745;red
EUW1_5742591481;red
EUW1_5742592335;red
EUW1_5742596628;blue
EUW1_5742597338;blue
EUW1_5742609796;red
EUW1_5742614695;blue
EUW1_5742620936;red
EUW1_5742623421;blue
EUW1_5742627183;blue
EUW1_5742629451;blue
EUW1_5742640651;blue
EUW1_5742656578;blue
EUW1_5742659679;blue
EUW1_5742675454;red
EUW1_5742679512;red
EUW1_5742685155;blue
EUW1_5742697879;blue
EUW1_5742707120;blue
EUW1_5742707228;blue
EUW1_5742708095;red
EUW1_5742712966;blue
EUW1_5742722608;red
EUW1_5742725498;blue
